000000|С трев+ожным ч+увством бер+усь я з+а пер+о.
000001|Ког+о интерес+ует призн+ания литерат+урного неуд+ачника?
000002|Чт+о поуч+ительного в ег+о +исповеди?
000003|Д+а и ж+изнь мо+я лишен+а вн+ешнего траг+изма.
000004|Я абсол+ютно здор+ов.
000005|У мен+я +есть л+юбящая родн+я.
000006|Мн+е всегд+а гот+овы предост+авить раб+оту кот+орая обесп+ечит норм+альное биолог+ическое существов+ание.
000007|М+ало тог+о, я облад+аю преим+уществами.
000008|Мн+е б+ез труд+а уда+ётся располаг+ать к себ+е люд+ей.
000009|Я соверш+ил дес+ятки пост+упков угол+овно наказ+уемых, и ост+авшихся безнак+азанными.
000010|Я дв+ажды б+ыл жен+ат, и +оба р+аза сч+астливо.
000011|Након+ец у м+еня +есть соб+ака!
000012|А +это уж+е изл+ишество.
000013|Тогд+а почем+у ж+е я ощущ+аю себ+я н+а гр+ани физ+ической катастр+офы?
000014|Отк+уда у мен+я ч+увство безнад+ёжной ж+изненной неприг+одности?
000015|В ч+ем прич+ина мо+ей тоск+и?
000016|Я хоч+у в +этом разобр+аться.
000017|Посто+янно д+умаю +об +этом.
000018|Мечт+аю и над+еюсь в+ызвать пр+израк сч+астья.
000019|Мн+е ж+аль чт+о прозвуч+ало +это сл+ово.
000020|В+едь представл+ения кот+орые он+о рожд+ает безгран+ичны д+о нул+я.
000021|Я зн+ал челов+ека всерь+ёз утвержд+ающего, чт+о +он б+удет абсол+ютно сч+астлив, +если жилконт+ора зам+енит ем+у ф+ановую труб+у.
000022|Суетное чувство тревожит меня.
000023|Аг+а под+умают, возомн+ил себ+я непр+изнанным г+ением.
000024|В т+ом-т+о и д+ело чт+о н+ет.
000025|Я в+ыслушал с+отни т+ысячи +откликов н+а мо+и расск+азы.
000026|И никогд+а, н+и в ед+иной с+амой уб+огой с+амой фантаст+ической петерб+ургской комп+ании — мен+я н+е объявл+яли г+ением.
000027|Д+аже когд+а объявл+яли таков+ыми Г+орецкого, и Харит+оненко.
000028|Г+орецкий +автор ром+ана представл+яющего соб+ой — д+евять лист+ов засв+еченной фотобум+аги.
000029|Гл+авное ж+е д+ействующее лиц+о б+олее зр+елого ром+ана Харит+оненко — презерват+ив.
000030|Тр+идцать л+ет наз+ад я вз+ялся з+а пер+о.
000031|Напис+ал ром+ан с+емь п+овестей, и чет+ыреста кор+отких вещ+ей.
000032|Н+а +ощупь поб+ольше ч+ем Г+оголь.
000033|Я убежд+ён чт+о м+ы с Г+оголем облад+аем р+авными +авторскими прав+ами.
000034|Об+язанности р+азные.
000035|К+ак м+инимум, одн+им неотъ+емлемым пр+авом.
000036|Пр+авом — обнар+одовать нап+исанное.
000037|Т+о +есть пр+авом бессм+ертия, +или неуд+ачи.
000038|З+а чт+о ж+е мо+я рядов+ая, ч+естная, ед+инственная скл+онность подавл+яется бесч+исленными +органами, л+ицами, инстит+утами вел+икого госуд+арства?
000039|Я д+олжен +это пон+ять.
000040|Н+е б+уду утружд+ать себ+я композ+ицией.
000041|Сумб+урно, дл+инно, и невн+ятно, попыт+аюсь излож+ить сво+ю тв+орческую биогр+афию.
000042|+Это б+удут приключ+ения мо+их р+укописей.
000043|Портр+еты знак+омых.
000044|К+ак ж+е назв+ать мн+е вс+ё +это дось+е?
000045|Зап+иски одног+о литер+атора.
000046|Сочин+ение н+а в+ольную т+ему.
000047|Р+азве +это в+ажно?
000048|Кн+ига-то нев+идимая.
000049|З+а окн+ом ленингр+адские кр+ыши, ант+енны, бл+едное н+ебо.
000050|К+атя гот+овит ур+оки. Фокстерь+ер Глаф+ира пох+ожая н+а бер+ёзовую ч+урочку, сид+ит у е+ё н+ог, и д+умает об+о мн+е.
000051|А п+ередо мн+ой л+ист бум+аги.
000052|И я пересек+аю +эту б+елую засн+еженную равн+ину — од+ин.
000053|Л+ист бум+аги сч+астье и прокл+ятие.
000054|Л+ист бум+аги наказ+ание мо+ё.
000055|Предисл+овие одн+ако затян+улось.
000056|Начн+ём хот+я б+ы с +этого.
000057|П+ЕРВЫЙ КР+ИТИК.
000058|Д+о револ+юции, +Агния Фр+анцевна М+ау — был+а придв+орным венер+ологом.
000059|Прошл+о шестьдес+ят л+ет.
000060|Навсегд+а сохран+ила +Агния Фр+анцевна гордел+ивый дворц+овый апл+омб, и прямот+у клиниц+иста.
000061|+Это М+ау — сказ+ала н+ашему квартуполном+оченному полк+овнику Тихом+ирову, отдав+ившему л+апу е+ё бол+онке...
000062|В+ы стр+ашное говн+о м+он колон+ель, н+е обесс+удьте.
000063|Тихом+иров ж+ил напр+отив, з+агнанный в отврат+ительную коммун+алку сво+им парт+ийным бескор+ыстием.
000064|+Он добив+ался вл+асти и ненав+идел М+ау з+а е+ё аристократическое происхожд+ение.
